species_id,genus,species,common_name
AMRO,Turdus,migratorius,American Robin
EABL,Sialia,sialis,Eastern Bluebird
DOWO,Picoides,pubescens,Downy Woodpecker
AMGO,Spinus,tristis,American Goldfinch
CLSW,Petrochelidon,pyrrhonota,Cliff Swallow
GHOW,Bubo,virginianus,Great Horned Owl
GBHE,Ardea,herodias,Great Blue Heron
PUFI,Haemorhous,purpureus,Purple Finch
