ID,species Abbreviation,genus,species,common name
1,AMRO,Turdus,migratorius,American Robin
2,EABL,Sialia,sialis,Eastern Bluebird
3,DOWO,Picoides,pubescens,Downy Woodpecker
4,AMGO,Spinus,tristis,American Goldfinch
5,CLSW,Petrochelidon,pyrrhonota,Cliff Swallow
6,GHOW,Bubo,virginianus,Great Horned Owl
7,GBHE,Ardea,herodias,Great Blue Heron
8,PUFI,Haemorhous,purpureus,Purple Finch
